data_id	Project Title	Start Year	End Year	ISO3 Code	Region	Country	Client/ Donor	M&E	Public Financial Management and Fiscal Sustainability	Brief Description	Point of contact	Email	Phone	Is Current Project? (true/false)	Practice Area	projects_slug	Prime	Contract Value USD	Contract Number	Sub	Education, Gender, and Youth Development	Knowledge Management and Data Analytics	Link	Security, Transparency, and Governance	Document Title	Energy and Environment	Subcontract Number/Order Number/Grant Number	Link to the document file
10	Internal Efficiency of the Judiciary System	1986	1986	SLV	Latin America and the Caribbean	El Salvador	USAID	x		DevTech designed the terms of reference of a technical assistance project for improving the administration of justice in El Salvador. The main focus of the project was to examine strategic alternatives for improving internal efficiency and resource utilization.	office	eads@usaid.gov	(202) 712-4810	No	Monitoring and Evaluation~Security, Transparency, and Governance	Internal-Efficiency-of-the-Jud	x						http://www.devtechsys.com/images/eame/moldova_2007_faa-119-biodiversity-analysis.pdf	x				
11	Justice Administration and Legal Systems	1986	1986	PAN	Latin America and the Caribbean	Panama	USAID	x	x	DevTech conducted a macro- and microeconomic study of the legal system of Panama, with special emphasis on the administration of justice. This pioneering research, performed under USAID/Washington sponsorship, involved analysis of the costs and financing of the justice sector, an assessment of the internal efficiency of the system, and studies of the markets for legal services, labor markets of lawyers, and the impact of the legal system on the economy.	office	eads@usaid.gov	(202) 712-4810	No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Justice-Administration-and-Leg	x											
12	Primary and Secondary Education	1987	1988	COS	Latin America and the Caribbean	Costa Rica	World Bank			Under a World Bank Technical Assistance Loan for structural adjustment, DevTech conducted a comprehensive study (in Spanish) of Costa Rica's general education system. DevTech's multi-disciplinary team included experts in economics, educational administration, anthropology, financial management, and distance education. This team assessed the following facets of education's role in economic development: internal efficiency of the primary and secondary education system; quality of instruction; curriculum content; community participation; future demand for educational services and long-term trends of educational costs and financing; and the feasibility of educational television for improving teaching methods.	Gilberto Flores / Freddy Justiniano Coordinator del Program	freddy.justiniano@undp.org	(212) 906-5404	No	Education, Gender and Youth	Primary-and-Secondary-Educatio	x	178027.00	COS-86-R01		x							
13	Organizational Development, Ministry of Commerce & Industry	1987	1987	PAN	Latin America and the Caribbean	Panama	USAID		x	DevTech provided technical assistance in economic analysis and organizational development. The project consisted of redefining the strategic mission of the Ministry so it could enhance its role as a promoter and facilitator of private-sector development. The analysis included a wide range of sectoral activities of the ministry, including capital markets, financial enterprises, the insurance industry, fisheries, mineral resources, domestic and international trade, patent and brand registration, and the definition of industry standards.The project also analyzed general economic conditions that affect the development of the private sector, especially labor markets, market imperfections in the transportation industry, the legal system, and the body of laws regarding property rights and the security of contractual relations. In addition, DevTech provided technical assistance in the design of management information systems and budgeting procedures.	Office / Ralph Lewis	eads@usaid.gov	(202) 712-4810	No	Public Financial Management and Fiscal Sustainability	Organizational-Development-Mi	x	79202.00	525-0189-C-00-7010-00									
14	Health Care and Social Security	1987	1988	COS	Latin America and the Caribbean	Costa Rica	World Bank	x		As part of a World Bank Technical Assistance Loan for structural adjustment, DevTech assessed various aspects of the public health care system and the pension regimes of Costa Rica. DevTech evaluated the internal efficiency of the health care system, its long-term economic and financial viability, alternatives for improving outpatient services, and the integration of preventive and curative services. One of the objectives was to study the possibility of increasing the role of preventive rather than curative services to reduce the overall costs of the national health care system. The project included formulation of a quantitative model of health planning aimed at simulating and projecting future resource needs (derived from epidemiological transitions and improvements in managerial conditions). DevTech's team of consultants for this aspect of the project included experts in macroeconomics and microeconomics, sociology, public health, epidemiology, institutional analysis, and statistical and quantitative analysis. In the area of social security, DevTech examined the financial viability of the various pension regimes, their impact on the national budget, the feasibility of integrating them, and political alternatives aimed at lessening the fiscal burden the country was facing.	Gilberto Flores / Freddy Justiniano Coordinator del Program	freddy.justiniano@undp.org	(212) 906-5404	No	Monitoring and Evaluation	Health-Care-and-Social-Securit	x	403428.00	C87035									
15	Manufacturing Enterprise Development	1988	1988	ECU	Latin America and the Caribbean	Ecuador	World Bank	x		DevTech analyzed manufacturing enterprise growth and development of manufacturing enterprises in Ecuador. The purpose of the analysis was to identify growth and development constraints, such as access to finance and technology of different types of enterprises, evaluate the impact of economic policies and general economic conditions (e.g., trade and credit policies, labor markets, legal systems) on enterprise development, suggest needed reforms, and indicate credit requirements.	Ines Garcia Thoumi	igarciathoumi@worldbank.org	(202) 473-0098	No	Monitoring and Evaluation	Manufacturing-Enterprise-Devel	x	16000.00	N68546									
16	Investment Planning	1988	1989	COS	Latin America and the Caribbean	Costa Rica	World Bank		x	Under a World Bank Technical Assistance Loan, DevTech conducted a technical assistance project to strengthen the investment planning and project appraisal capabilities of the Costa Rican public sector. The project included a critical review of current investment planning practices and formulation of an improvement strategy, a series of lectures and workshops to train government personnel in project preparation and cost-benefit analysis, and the development of computer applications for investment planning.	Gilberto Flores / Freddy Justiniano Coordinator del Program	freddy.justiniano@undp.org	(212) 906-5404	No	Public Financial Management and Fiscal Sustainability~Knowledge Management and Data Analytics	Investment-Planning	x	85202.00	C88127			x						
17	Radio Education - Ecuador	1989	1989	ECU	Latin America and the Caribbean	Ecuador	USAID			DevTech carried out an economic analysis of the feasibility of a radio education project applied to primary education in Ecuador. The effort included the construction of a quantitative simulation model to assess costs under various organizational designs.	Office / Thomas Tilson	contact@edc.org	(617) 969-7100	No	Education, Gender and Youth	Radio-Education-Ecuador	EDC	9527.00	518-0080	x	x		http://pdf.usaid.gov/pdf_docs/pdabb998.pdf		Radio Learning			
18	Public-Sector Investment Planning	1989	1990	VEN	Latin America and the Caribbean	Venezuela	Inter-American Development Bank	x	x	DevTech consultants conducted a critical review of the investment process in the Venezuelan public sector (central government and public enterprises) and developed a strategy to improve the different phases of the process. The review included the design and evaluation of projects, the preparation of national investment plans, the monitoring and control of investment execution, and the post-completion evaluation of projects. Special attention was given to reinforcing economic analysis capabilities at the public-sector level.	Office / Nancy Baquero	iicmail@iadb.org	(202) 623-1000	No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Public-Sector-Investment-Plann	x	30000.00	ATN/SF-3373-VE									
19	Basic Education - El Salvador	1989	1989	SLV	Latin America and the Caribbean	El Salvador	USAID	x		DevTech carried out an evaluation of the cost and financing of basic education in El Salvador and its implications for long-term educational development strategies and policies. Special attention was given to the resource-allocation and decision-making systems and their effectiveness in educational management; the relationship between teachers' salaries and the quality of basic education; and the alternatives to improve the management of education via decentralization.	Beverly Jones / Rosamund Mische John	rjohn@aed.org	202-884-8978	No	Monitoring and Evaluation~Education, Gender and Youth	Basic-Education-El-Salvador	x	16099.00	LAC-0000-C-00-6074-00	State University of New York	x		https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjEyNDYz&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Economics of Basic Education in El Salvador			
20	Economic Aspects of Legislative Processes	1989	1989		Latin America and the Caribbean		USAID	x		DevTech prepared the economic analysis of a project paper under preparation by USAID's Office of Democratic Initiative. The study addressed the legislative activities that have important economic aspects such as taxation, government budgets, regulatory law, social security, labor codes, and international agreements.	Office Information/ James Heaphey	ugadmissions@albany.edu	(518) 442-5435	No	Monitoring and Evaluation	Economic-Aspects-of-Legislativ	x	7000.00	R44082	State University of New York								
21	SECPLAN Financial Accounting	1989	1990	HND	Latin America and the Caribbean	Honduras	USAID	x	x	DevTech carried out a diagnosis of the Honduran financial accounting system and recommended a strategy and implementation plan to standardize accounts and improve the manner in which information for those accounts is collected, maintained, and used. This effort included a definition of the roles of the various entities within SECPLAN (Planning Ministry), MHYCP (Ministry of Finance and Public Credit), and BCH (Central Bank of Honduras) with regards to the budgetary process and the requirements of each institution in terms of timely and useful consolidated financial information. A two-person team performed the diagnosis and analysis on-site in Honduras and produced a report that included an implementation plan for technical assistance.	Vicente Diaz/ Hjordis Bierman	vidiaquez@usaid.gov.	(504) 236-9320	No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	SECPLAN-Financial-Accounting	x	32911.00	522-0325-C-00-0015-00				http://pdf.usaid.gov/pdf_docs/pdabd729.pdf		Project to improve the financial accounts of the non-financial public sector			
22	Agricultural Credit	1989	1989	MEX	Latin America and the Caribbean	Mexico	World Bank		x	DevTech participated in the preparation of a project on rural credit in Mexico. DevTech's role was to assess the financial viability of the Mexican Agricultural Trust Funds by making a thorough review of the institution's structure, operations, and financial situation. Additionally, DevTech prepared the Project Completion Report for the Eighth and Interim Agricultural Credit Projects on behalf of the World Bank.	Graciela Lituma	glituma@worldbank.org	(202) 473-1892(202) 473-6189	No	Public Financial Management and Fiscal Sustainability	Agricultural-Credit	x	8000.00	LOAN 1891-ME									
23	National Defense Executive Reserve	1989	1991	USA	North America	USA	Federal Emergency Management Agency			DevTech was contracted to provide technical and logistical support for the National Defense Executive Reserve Conference held in February 1991. The purpose of the program was to enhance the readiness of reservists who were civilian professionals involved in sectors such as agriculture, business and industry, education, energy, labor, management, and transportation. DevTech's responsibility was to assist FEMA in planning for and executing a successful conference. DevTech adapted the conference preparations and planning to absorb the involvement of conference participants in Operation Desert Storm.	Jane Bullock	jane.bullock@fema.gov	(202) 646-2800	No	Energy and Environment~Knowledge Management and Data Analytics	National-Defense-Executive-Res	x	196173.00	EMW-89-C-3219			x				x		
24	Natural and Technological Hazards	1989	1991	USA	North America	USA	Federal Emergency Management Agency			DevTech provided technical, management, and administrative support on activities related to emergency management, including planning for, mitigating, and responding to a wide range of emergencies such as earthquakes, hurricanes, and floods. DevTech's technical support entailed research into relevant public policy and studies of the economic consequences of disasters. Other support required DevTech to establish a resources database, participate in the design and execution of public information programs, and organize and conduct conferences and other events where information about hazard mitigation and response is transferred.	Jane Bullock	jane.bullock@fema.gov	(202) 646-2800	No	Energy and Environment~Knowledge Management and Data Analytics	Natural-and-Technological-Haza	x	24492.00	EMW-89-C-4246			x				x		
25	Economic Consequences of a Catastrophic Earthquake	1989	1991	USA	North America	USA	Federal Emergency Management Agency	x			Jane Bullock	jane.bullock@fema.gov	(202) 862-1900	No	Monitoring and Evaluation~Energy and Environment	Economic-Consequences-of-a-Cat		423050.00	EMW-89-C-3028							x		
26	U.S. National Defense Executive Reserve	1989	1991	USA	North America	USA	Federal Emergency Management Agency			DevTech was contracted to provide technical and logistical support for the National Defense Executive Reserve Conference held in February 1991. The purpose of the program was to enhance the readiness of reservists who were civilian professionals involved in sectors such as agriculture, business and industry, education, energy, labor, management, and transportation.				No	Knowledge Management and Data Analytics	U.S.-National-Defense-Executiv	x					x						
27	Technical Assistance to Environmental Division of the Office of Project Development, ANE Bureau Quarterly Progress Report	1990	1992		Asia, Europe and Eurasia		USAID			DevTech was contracted to provide technical support to the ANE Bureau Environmental Division in developing bureau environmental strategies and reviewing assessments. Tasks included data collection activities related to natural resources, reviewing agency procedures for tracking Initial Environmental Examinations, and	Ron Greenberg	eads@usaid.gov	(202) 647-7315	No	Energy and Environment	Technical-Assistance-to-Enviro	x	1158696.00	ANE-0178-C-00-0041-00				http://pdf.usaid.gov/pdf_docs/pdabe658.pdf		Quarterly Progress Report: Technical Assistance to Environmental Division of the Office of Project Development, ANE Bureau	x		
28	Education Sector Concept Paper	1990	1992		Latin America and the Caribbean		USAID			DevTech prepared a concept paper that critically reviewed the educational climate in six countries in the Latin America/Caribbean region (Costa Rica, the Dominican Republic, El Salvador, Guatemala, Honduras, and Panama). The paper's central thesis was that a crisis existed in the educational systems of the countries of the region that adversely affected the human resource endowment of the societies. This phenomenon, comparable in terms of economic consequences to the destruction of the rain forest, had far-reaching implications for the economic and social development prospects of the region. In its discussion of the educational crisis, the paper addressed financial constraints, the dilemma of quality versus coverage, and dependence on external financial resources. Reform was suggested on the following fronts: priority of educational policy, institutional reform of education ministries, improved teacher salaries, decentralized administrative functions, and increased effectiveness and sustainability of international assistance.	Beverly Jones / Rosamund Mische John	rjohn@aed.org	(202) 862-1972 / 202-884-8978	No	Education, Gender and Youth	Education-Sector-Concept-Paper	x	36050.00	LAC-0032-C-00-9036-00		x		Educational crisis in Latin America : the financial constraint and the dilemma of quality versus coverage		Educational Crisis in Latin America: the Financial Constraint and the dilemna of quality versus coverage			
29	Macroeconomic Simulation Model	1990	1990	SLV	Latin America and the Caribbean	El Salvador	USAID	x	x	Within the context of a government-wide program of structural reforms, DevTech evaluated the feasibility of developing and installing a dynamic macroeconomic simulation model of the Salvadoran economy. The model was designed to strengthen USAID/El Salvador's ability to evaluate the distributional implications of economic policy alternatives and make recommendations in support of economic stabilization and preparation for medium-term growth and development.	Judd Harriott / Mileydi Guilarte	mguilarte@usaid.gov	011 (503) 2501-2999 / (503) 2 98-1666	No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Macroeconomic-Simulation-Model	x	10313.00	519-0177-C-00-0314-00									
30	Radio Education in Honduras	1990	1990	HND	Latin America and the Caribbean	Honduras	USAID			"DevTech evaluated development and recurrent costs for the Radio Mathematics Learning Project \""La Familia de los Números\"" in Honduras. Cost data were collected and analyzed for the program's initial four years to provide the basis for projecting three years of costs under different staffing and program content assumptions. Future cost-effectiveness ratios were calculated on the basis of these projections."	Office / Thomas Tilson	contact@edc.org	(617) 969-7100	No	Education, Gender and Youth	Radio-Education-in-Honduras		8320.00	DPE-5818-C-00-5059-00	x	x							
31	Social Profitability of Investment in the Education Sector	1990	1990	SLV	Latin America and the Caribbean	El Salvador	USAID				Rosamund Mische John / Marcia Ellis (AED)	rjohn@aed.org	(202) 862-1900 /202-884-8978	No	Education, Gender and Youth	Social-Profitability-of-Invest	x	5179.00	519-0168-C-00-0287		x							
32	Immediate Recovery Project	1990	1991	PAN	Latin America and the Caribbean	Panama	USAID			DevTech provided technical assistance to the government of Panama under its Immediate Recovery Project to initiate the restructuring of public institutions to promote the confidence, security, and continuity necessary for democratic processes and economic reactivation. DevTech's role was to assist the Panamanian government in developing and beginning implementation of the economic and financial policy reforms that would allow for a new, sustainable growth strategy. DevTech fielded two resident core advisors, in addition to a wide variety of short-term technical assistance experts, to provide strategic advice in such fields as privatization, social security, debt restructuring, housing, fuel production and consumption, investment and export strategies, health, and agriculture.	Mileydi Guilarte / Mary Ott	mguilarte@usaid.gov	011 (503) 2501-2999 / (503) 2-98-1666	No	Security, Transparency, and Governance	Immediate-Recovery-Project	x	1081656.00	525-0302-C-00-0539-00				http://pdf.usaid.gov/pdf_docs/pdabb803.pdf	x	Immediate Recovery Project			
33	Marketing Short-Term Government Securities	1991	1992	HUN	Europe and Eurasia	Hungary	U.S. Department of the Treasury	x	x	In response to an urgent request by the government of Hungary for assistance to strengthen the national market's acceptance of its financial securities, DevTech dispatched a technical advisory team to Budapest. The DevTech team conducted a broad economic analysis of the problem to determine the causes for poor market reception of government securities. Coordinating closely with U.S. Department of Treasury advisors to the government of Hungary, the DevTech team conferred with high-ranking officials in the Ministry of Finance and other Hungarian government institutions and with leaders of the private banking community and other key private-sector entities. DevTech identified steps that the Hungarian government could take to enhance its capability to sell government securities to the public, analyzed the economic consequences, and recommended strategies for immediate and follow-on interventions.	Office /Robert Banque	inquiries@usmint.treas.gov	(202) 622-2000 / (202) 566-5637	No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Marketing-Short-Term-Governmen	x	9629.00	EE-92-0132									
34	Economic Policy Development Support	1991	1995	PAN	Latin America and the Caribbean	Panama	USAID		x	As a follow-up to the Immediate Recovery Project in Panama (USAID 1990-1991), DevTech provided long-term support to the Ministry of Planning and Economic Policy (MIPPE). This assistance was divided into two components.The first component involved provision of a long-term, resident senior macroeconomic advisor to MIPPE for policy reform and implementation. This macroeconomist advised on liberalization policies, assisted the government with restoring access to assistance from international financial institutions, and reviewed macroeconomic projections and general economic and business conditions in light of targets of the economic program.The second component of the project called for short-term technical assistance in specific areas to facilitate the implementation of the economic program. Illustrative short-term technical assistance tasks included:Financial equilibrium in social security pension plans;Budget policy and administration;Reduction and eventual elimination of barriers to free trade;Privatization;Elimination of price controls;Cost analysis of health care services delivered by the government; andPublic-sector investment planning.This project also continued the public education program to raise the level of economic understanding in support of policy reform initiated during the Immediate Recovery Project.Task #01: External Debt AssistanceTask #02: Price SurveyTask #03: Support to the Implementation of the Economic Program, Agriculture SectorTask #04: Health Study—Separation of CostsTask #05: Actuarial Protection of Old Age and HandicappedTask #06: Discussion at the World Bank in Washington, D.C.Task #07: Price RegulationTask #08: Banco Hipotecario Nacional (BHN) StudyTask #09: Implementation of the Technical Assistance ProgramTask #10: Terms of Reference for a Study on Task #11: Study of the Competitiveness of the Panamanian Dairy IndustryTask #12: Study of the Competitiveness of the Panamanian Sugar IndustryTask #13: Study of the Competitiveness of the Panamanian Tomato IndustryTask #14: Public Sector PensionsTask #15: Consumer ProtectionTask #16: Terms of Reference: Irrigation StudyTask #17: Effective ProtectionTask #18: Terms of Reference: BHN – Banco de Desarrollo Agropecuario (BDA)Task #19: Economic Integration Study (2nd Part)Task #20: Study of the Agribusiness IndustryTask #21: Support to the Department of Labor and Social Welfare: Study of Labor CodesTask #22: World Bank MissionTask #23: Investment Planning DesignTask #24: BDATask #25: Preparation of the Public Investments TaskTask #26: Preparation of the BDA TaskTask #27: Preparation of the BHN Task	Nilka de Varela	eads@usaid.gov	507-2-636-011 (202) 537-0753	No	Public Financial Management and Fiscal Sustainability	Economic-Policy-Development-Su	x	2294158.00	525-0313-C-00-1342-00									
35	Improving Public Sector Financial Accounts	1991	1991	HND	Latin America and the Caribbean	Honduras	USAID		x	DevTech assisted the government of Honduras in a project designed to link accounting systems and procedures to the requirements of macroeconomic classification models and reporting.The first project component involved system improvements designed to enable the Honduran government to produce a single version of the public sector's consolidated financial accounts. Working with the Vice-Minister of Finance and Public Credit, DevTech identified problems at the consolidation stage, recommended a common methodology, and reviewed the quality and timeliness of financial data flowing through the budgetary and accounting process. For the consolidation portion of the project, the International Monetary Fund methodology was adapted and merged with the existing coding structure for both revenue and expense. The result was a detailed chart of accounts that accommodated both the budgetary and accounting processes for the central government, decentralized agencies, and public enterprises.In the second element of the project, DevTech performed an in-depth analysis of the accounting systems used by the Treasury, the Accountant General, several public enterprises, the Secretariats of Budget, Public Debt, and Decentralized Agencies, and the Data Processing Center.	Vincente Diaz   / Vivian Idiaquez	vidiaquez@usaid.gov.	(504) 236-9320	No	Public Financial Management and Fiscal Sustainability	Improving-Public-Sector-Financ	x	399365.00	522-0325-C-00-1088-00				https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjIwNDA1&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Project to improve the financial accounts of the non-financial public sector			
36	National Earthquake Hazards Reduction Program	1991	1993	USA	North America	USA	Federal Emergency Management Agency				Jane Bullock	jane.bullock@fema.gov	(202) 646-2800	No	Energy and Environment	National-Earthquake-Hazards-Re	x	1404480.00	EMW-91-C-3598							x		
37	Integrated Orientation, Follow-on, & Evaluation Program for Participant Training in Egypt	1992	1992	EGY	Africa	Egypt	USAID	x		DevTech conducted a comprehensive review of more than 60 training projects undertaken by USAID/Egypt since the 1970s. The purpose of this project was to determine Mission goals for an integrated orientation, follow-on, and evaluation (OFE) program through interviews with Mission officials; carry out an inventory of all OFE activities implemented in the Mission projects; analyze the status of OFE activities with regard to policy requirements; and assess the needs of the recipients through interviews with returned participants. DevTech also evaluated organizations and institutions working in Egypt to determine their interest in participation, their capacity to effectively participate, and ways various organizations could work together to assist the Mission in carrying out its training objectives.Based upon the findings, DevTech recommended a five-year implementation plan for an OFE program that appropriately and creatively utilized all available resources, fostered effective networking at a minimum cost, emphasized quality of contacts rather than quantity, and incorporated the specific needs and circumstances of USAID/Egypt.	Diane Leach (now in Honduras)	0dleach@usaid.gov	504-236-932	No	Monitoring and Evaluation	Integrated-Orientation-Follow	x	43820.00	263-0102-C-00-2218-00									
38	Review of USAID/South Africa Training Program	1992	1992	ZAF	Africa	South Africa	USAID	x		DevTech conducted a comprehensive review of each training project undertaken by USAID/South Africa since its inception in the early 1980s. DevTech made a determination of Mission goals for a follow-on program through interviews with Mission officials; assessed the needs of the recipients through interviews with returned participants; and analyzed the status of follow-on activities with regard to policy requirements. The team evaluated NGOs working in South Africa for the purpose of determining their interest in participation, their capacity to effectively participate, and ways various NGOs could work together to assist the Mission in carrying out its training objectives.Based upon the findings, DevTech recommended an implementation plan that appropriately and creatively utilized all available resources; fostered effective networking at a minimum cost; emphasized the quality of contacts rather than the quantity; and incorporated the specific needs and circumstances of USAID/South Africa.				No	Monitoring and Evaluation~Education, Gender and Youth	Review-of-USAIDSouth-Africa-T	x	25000.00	674-92-136		x							
39	Educational crisis in Latin America : the financial constraint and the dilemma of quality versus coverage	1992	1992		Latin America and the Caribbean		USAID	x		Book written by Jorge Sanguinetty for the USAID/Bureau for Latin America and the Caribbean, Office of Development Resources, Education and Human Resources Division in 1992.				No	Monitoring and Evaluation~Education, Gender and Youth	Educational-crisis-in-Latin-Am	x				x		Educational crisis in Latin America : the financial constraint and the dilemma of quality versus coverage		Educational crisis in Latin America : the financial constraint and the dilemma of quality versus coverage			
40	Transition Towards Market Economy in Cuba	1992	1993	CUB	Latin America and the Caribbean	Cuba	FIU	x			Lisandro Perez	crinst@fiu.edu	(305) 348-1991	No	Monitoring and Evaluation	Transition-Towards-Market-Econ	x	14445.00	205589									
